book,pairs,file
《肌肉训练完全图解 终极健身百科全书》【美】,157,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《肌肉训练完全图解 终极健身百科全书》【美】/pairs_《肌肉训练完全图解 终极健身百科全书》【美】_2026-05-07.json
[NSCA_Essentials of Strength Training and Conditioning  4th,155,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[NSCA_Essentials of Strength Training and Conditioning  4th/pairs_[NSCA_Essentials of Strength Training an_2026-05-07.json
第7期ACSM基础肌力与体能训练201412最新版本,151,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/第7期ACSM基础肌力与体能训练201412最新版本/pairs_第7期ACSM基础肌力与体能训练201412最新版本_2026-05-07.json
足球 少年儿童业余训练教材 (少年儿童业余训练《足球》教材编写组编),151,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/足球 少年儿童业余训练教材 (少年儿童业余训练《足球》教材编写组编)/pairs_足球 少年儿童业余训练教材 (少年儿童业余训练《足球》教材编写组编)_2026-05-07.json
2022执教的语言动作教学中的科学与艺术9787115582515,150,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/2022执教的语言动作教学中的科学与艺术9787115582515/pairs_2022执教的语言动作教学中的科学与艺术9787115582515_2026-05-06.json
ACSM基础肌力与体能训练,150,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/ACSM基础肌力与体能训练/pairs_ACSM基础肌力与体能训练_2026-05-06.json
starting strength 3rd,149,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/starting strength 3rd/pairs_starting strength 3rd_2026-05-07.json
《健身营养指南(30而立篇)》,148,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《健身营养指南(30而立篇)》/pairs_《健身营养指南(30而立篇)》_2026-05-07.json
构建体操选手般的身躯V2(囚徒健身论坛) - ,144,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/构建体操选手般的身躯V2(囚徒健身论坛) - /pairs_构建体操选手般的身躯V2(囚徒健身论坛) - _2026-05-07.json
战术肌力与体能训练,143,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/战术肌力与体能训练/pairs_战术肌力与体能训练_2026-05-07.json
肌力与体能训练-肌力與體能訓練--第四版 --台版-01,142,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/肌力与体能训练-肌力與體能訓練--第四版 --台版-01/pairs_肌力与体能训练-肌力與體能訓練--第四版 --台版-01_2026-05-07.json
Acsm体能训练概论中文,141,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Acsm体能训练概论中文/pairs_Acsm体能训练概论中文_2026-05-06.json
[瑜珈入门].(美)玛格丽特·D·皮尔斯.扫描版,139,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[瑜珈入门].(美)玛格丽特·D·皮尔斯.扫描版/pairs_[瑜珈入门].(美)玛格丽特·D·皮尔斯.扫描版_2026-05-07.json
《瑜伽基础入门全图解》张斌,139,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《瑜伽基础入门全图解》张斌/pairs_《瑜伽基础入门全图解》张斌_2026-05-07.json
《艾扬格瑜伽》,135,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《艾扬格瑜伽》/pairs_《艾扬格瑜伽》_2026-05-07.json
Never_Gymless___An_Excuse_free_System_for_Total_Fitness,134,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Never_Gymless___An_Excuse_free_System_for_Total_Fitness/pairs_Never_Gymless___An_Excuse_free_System_fo_2026-05-07.json
《跑步，该怎么跑？》【美】,132,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《跑步，该怎么跑？》【美】/pairs_《跑步，该怎么跑？》【美】_2026-05-07.json
NSCA's essentials of tactical strength and conditinoing,131,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA's essentials of tactical strength and conditinoing/pairs_NSCA's essentials of tactical strength a_2026-05-06.json
体育运动中的功能性训练--翻译版--01,131,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/体育运动中的功能性训练--翻译版--01/pairs_体育运动中的功能性训练--翻译版--01_2026-05-07.json
《一平米健身》,130,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《一平米健身》/pairs_《一平米健身》_2026-05-07.json
NSCA-CSCS美国国家体能协会体能教练认证指南第4版---,128,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA-CSCS美国国家体能协会体能教练认证指南第4版---/pairs_NSCA-CSCS美国国家体能协会体能教练认证指南第4版---_2026-05-06.json
已上架1007——NSCA——NSCA：Tactical+Str...,125,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/已上架1007——NSCA——NSCA：Tactical+Str.../pairs_已上架1007——NSCA——NSCA：Tactical+Str..._2026-05-07.json
跑步该怎么跑,125,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/跑步该怎么跑/pairs_跑步该怎么跑_2026-05-07.json
NSCA's tactical strength and conditioning facilitator's reference guide(2013),122,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA's tactical strength and conditioning facilitator's reference guide(2013)/pairs_NSCA's tactical strength and conditionin_2026-05-06.json
NSCA_Tactical Strength,122,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA_Tactical Strength/pairs_NSCA_Tactical Strength_2026-05-06.json
2001年版美陆军格斗教材,120,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/2001年版美陆军格斗教材/pairs_2001年版美陆军格斗教材_2026-05-06.json
《拉伸：简单有效的纤体方式》,120,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《拉伸：简单有效的纤体方式》/pairs_《拉伸：简单有效的纤体方式》_2026-05-07.json
拉伸：简单有效的纤体方式,120,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/拉伸：简单有效的纤体方式/pairs_拉伸：简单有效的纤体方式_2026-05-07.json
NASMEssentialsOfCorrectiveExerciseTraining,119,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NASMEssentialsOfCorrectiveExerciseTraining/pairs_NASMEssentialsOfCorrectiveExerciseTraini_2026-05-06.json
健身书籍03  24本__实用PNF治疗,119,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍03  24本__实用PNF治疗/pairs_健身书籍03  24本__实用PNF治疗_2026-05-07.json
16,118,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/16/pairs_16_2026-05-06.json
NASM-PES美国国家运动医学会运动表现训练指南(1),117,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NASM-PES美国国家运动医学会运动表现训练指南(1)/pairs_NASM-PES美国国家运动医学会运动表现训练指南(1)_2026-05-06.json
Pushing the Limits 奋力向前,117,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Pushing the Limits 奋力向前/pairs_Pushing the Limits 奋力向前_2026-05-07.json
Shi Wa Xin Ge Jian Shen Quan Sh - A Nuo De _Shi Wa Xin Ge,117,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Shi Wa Xin Ge Jian Shen Quan Sh - A Nuo De _Shi Wa Xin Ge/pairs_Shi Wa Xin Ge Jian Shen Quan Sh - A Nuo _2026-05-07.json
15,116,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/15/pairs_15_2026-05-06.json
《健身教练从不外传的肌力训练法》赵健,116,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《健身教练从不外传的肌力训练法》赵健/pairs_《健身教练从不外传的肌力训练法》赵健_2026-05-07.json
NSCA-CSCS美国国家体能协会体能教练认证指南第4版,115,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA-CSCS美国国家体能协会体能教练认证指南第4版/pairs_NSCA-CSCS美国国家体能协会体能教练认证指南第4版_2026-05-06.json
Pushing The Limits - Al Kavadlo,115,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Pushing The Limits - Al Kavadlo/pairs_Pushing The Limits - Al Kavadlo_2026-05-07.json
健身书籍01   167本__实用PNF治疗,114,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍01   167本__实用PNF治疗/pairs_健身书籍01   167本__实用PNF治疗_2026-05-07.json
易化牵伸术_简便易学的PNF牵伸及力量训练,114,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/易化牵伸术_简便易学的PNF牵伸及力量训练/pairs_易化牵伸术_简便易学的PNF牵伸及力量训练_2026-05-07.json
NSCA-EssentialsofStrengthTrainingandConditioning2008(3rded.),113,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA-EssentialsofStrengthTrainingandConditioning2008(3rded.)/pairs_NSCA-EssentialsofStrengthTrainingandCond_2026-05-06.json
[实战绝技－三晃膀秘解].胡光锋.扫描版,113,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[实战绝技－三晃膀秘解].胡光锋.扫描版/pairs_[实战绝技－三晃膀秘解].胡光锋.扫描版_2026-05-07.json
跑步,该怎么跑,113,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/跑步,该怎么跑/pairs_跑步,该怎么跑_2026-05-07.json
NASM-CES 纠正性训练,111,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NASM-CES 纠正性训练/pairs_NASM-CES 纠正性训练_2026-05-06.json
[拉伸：简单有效的纤体方式].叶丹.扫描版,111,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[拉伸：简单有效的纤体方式].叶丹.扫描版/pairs_[拉伸：简单有效的纤体方式].叶丹.扫描版_2026-05-07.json
男人，别说你懂健身pdf电子书,111,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/男人，别说你懂健身pdf电子书/pairs_男人，别说你懂健身pdf电子书_2026-05-07.json
2013 施瓦辛格健身全书《中文版修订版》Fox 编辑制作,109,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/2013 施瓦辛格健身全书《中文版修订版》Fox 编辑制作/pairs_2013 施瓦辛格健身全书《中文版修订版》Fox 编辑制作_2026-05-06.json
已上架1010——NSCA——NSCA：Essentials+o...,109,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/已上架1010——NSCA——NSCA：Essentials+o.../pairs_已上架1010——NSCA——NSCA：Essentials+o..._2026-05-07.json
Essentials+of+Eccentric+Training,108,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Essentials+of+Eccentric+Training/pairs_Essentials+of+Eccentric+Training_2026-05-06.json
[男性健康，肌肉手册.-.2011].影印版,108,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[男性健康，肌肉手册.-.2011].影印版/pairs_[男性健康，肌肉手册.-.2011].影印版_2026-05-07.json
《施瓦辛格健身全书》【美】阿诺德,108,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《施瓦辛格健身全书》【美】阿诺德/pairs_《施瓦辛格健身全书》【美】阿诺德_2026-05-07.json
健身书籍01   167本__施瓦辛格健身全书中文完整版,108,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍01   167本__施瓦辛格健身全书中文完整版/pairs_健身书籍01   167本__施瓦辛格健身全书中文完整版_2026-05-07.json
施瓦辛格健身全书,108,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/施瓦辛格健身全书/pairs_施瓦辛格健身全书_2026-05-07.json
易化牵伸术 简便易学的PNF牵伸及力量训练,107,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/易化牵伸术 简便易学的PNF牵伸及力量训练/pairs_易化牵伸术 简便易学的PNF牵伸及力量训练_2026-05-07.json
[肌肉力量基础训练·彩图版].(日)有贺诚司.扫描版,106,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[肌肉力量基础训练·彩图版].(日)有贺诚司.扫描版/pairs_[肌肉力量基础训练·彩图版].(日)有贺诚司.扫描版_2026-05-07.json
文档-健身书籍（3.17G）__施瓦辛格健身全书中文完整版,106,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/文档-健身书籍（3.17G）__施瓦辛格健身全书中文完整版/pairs_文档-健身书籍（3.17G）__施瓦辛格健身全书中文完整版_2026-05-07.json
施瓦辛格健身全书中文完整版,105,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/施瓦辛格健身全书中文完整版/pairs_施瓦辛格健身全书中文完整版_2026-05-07.json
NSCA_Essentials of ST&C,103,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA_Essentials of ST&C/pairs_NSCA_Essentials of ST&C_2026-05-06.json
《男人！别说你懂健身》.闫文龙,103,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《男人！别说你懂健身》.闫文龙/pairs_《男人！别说你懂健身》.闫文龙_2026-05-07.json
壶铃训练指南_14427376,103,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/壶铃训练指南_14427376/pairs_壶铃训练指南_14427376_2026-05-07.json
推动极限,103,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/推动极限/pairs_推动极限_2026-05-07.json
24,102,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/24/pairs_24_2026-05-06.json
无器械健身+用自身体重锻炼_13063327_高清,101,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/无器械健身+用自身体重锻炼_13063327_高清/pairs_无器械健身+用自身体重锻炼_13063327_高清_2026-05-07.json
11015-Functional Training for Sports,100,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/11015-Functional Training for Sports/pairs_11015-Functional Training for Sports_2026-05-06.json
Functional Training for Sports,100,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Functional Training for Sports/pairs_Functional Training for Sports_2026-05-06.json
肌肉力量基础训练（日）有贺诚司,100,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/肌肉力量基础训练（日）有贺诚司/pairs_肌肉力量基础训练（日）有贺诚司_2026-05-07.json
Dinosaur+Bodyweight+Training,99,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Dinosaur+Bodyweight+Training/pairs_Dinosaur+Bodyweight+Training_2026-05-06.json
无器械健身用自身体重锻炼高清,99,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/无器械健身用自身体重锻炼高清/pairs_无器械健身用自身体重锻炼高清_2026-05-07.json
You Are Your Own Gym,98,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/You Are Your Own Gym/pairs_You Are Your Own Gym_2026-05-07.json
《乐跑宝典：跑步完全手册》【英】,98,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《乐跑宝典：跑步完全手册》【英】/pairs_《乐跑宝典：跑步完全手册》【英】_2026-05-07.json
游泳学与练,98,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/游泳学与练/pairs_游泳学与练_2026-05-07.json
游泳 (《高等学校普通体育课教学参考书》游泳编写组编),97,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/游泳 (《高等学校普通体育课教学参考书》游泳编写组编)/pairs_游泳 (《高等学校普通体育课教学参考书》游泳编写组编)_2026-05-07.json
马克·劳伦 无器械健身,97,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/马克·劳伦 无器械健身/pairs_马克·劳伦 无器械健身_2026-05-07.json
《肌肉训练完全图解 跑步运动》【美】,96,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《肌肉训练完全图解 跑步运动》【美】/pairs_《肌肉训练完全图解 跑步运动》【美】_2026-05-07.json
运动運動表現的肌力與體能訓練 易利--台版50,96,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/运动運動表現的肌力與體能訓練 易利--台版50/pairs_运动運動表現的肌力與體能訓練 易利--台版50_2026-05-07.json
囚徒健身（学生版）,94,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身（学生版）/pairs_囚徒健身（学生版）_2026-05-07.json
无器械健身：  用自身体重锻炼,93,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/无器械健身：  用自身体重锻炼/pairs_无器械健身：  用自身体重锻炼_2026-05-07.json
田径 (少年儿童业余训练《田径》教材编写组编),93,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/田径 (少年儿童业余训练《田径》教材编写组编)/pairs_田径 (少年儿童业余训练《田径》教材编写组编)_2026-05-07.json
[NBA体能训练：专家设计的122项练习].(美)全美篮球体能教练员协会.扫描版,92,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[NBA体能训练：专家设计的122项练习].(美)全美篮球体能教练员协会.扫描版/pairs_[NBA体能训练：专家设计的122项练习].(美)全美篮球体能教练员协会.扫描版_2026-05-07.json
无器械健身,92,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/无器械健身/pairs_无器械健身_2026-05-07.json
NSCA-CSCS体能概论,91,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA-CSCS体能概论/pairs_NSCA-CSCS体能概论_2026-05-06.json
NSCA_体能训练概论,91,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA_体能训练概论/pairs_NSCA_体能训练概论_2026-05-06.json
无器械健身_13063327,91,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/无器械健身_13063327/pairs_无器械健身_13063327_2026-05-07.json
田径 (《高等学校普通体育课教学参考书》田径编写小组编),91,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/田径 (《高等学校普通体育课教学参考书》田径编写小组编)/pairs_田径 (《高等学校普通体育课教学参考书》田径编写小组编)_2026-05-07.json
《腹部肌肉训练》,90,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《腹部肌肉训练》/pairs_《腹部肌肉训练》_2026-05-07.json
女子健美训练图解,90,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/女子健美训练图解/pairs_女子健美训练图解_2026-05-07.json
Raising the Bar The Definitive Guide to Pull-up Bar Calisthenics,89,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Raising the Bar The Definitive Guide to Pull-up Bar Calisthenics/pairs_Raising the Bar The Definitive Guide to _2026-05-07.json
10分钟健身法.日本森永运动与健康研究中心,88,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/10分钟健身法.日本森永运动与健康研究中心/pairs_10分钟健身法.日本森永运动与健康研究中心_2026-05-06.json
《三维图解：肌肉拉伸书》【美】莫纳夏,88,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《三维图解：肌肉拉伸书》【美】莫纳夏/pairs_《三维图解：肌肉拉伸书》【美】莫纳夏_2026-05-07.json
《各国特种部队格斗术》,87,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《各国特种部队格斗术》/pairs_《各国特种部队格斗术》_2026-05-07.json
《肌肉训练完全图解 中年人士的终极健身指南》【美】,87,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《肌肉训练完全图解 中年人士的终极健身指南》【美】/pairs_《肌肉训练完全图解 中年人士的终极健身指南》【美】_2026-05-07.json
现代康复治疗技术,86,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/现代康复治疗技术/pairs_现代康复治疗技术_2026-05-07.json
Runners World Complete Guide to Running,85,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Runners World Complete Guide to Running/pairs_Runners World Complete Guide to Running_2026-05-07.json
拉伸训练彩色图谱,85,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/拉伸训练彩色图谱/pairs_拉伸训练彩色图谱_2026-05-07.json
[肌肉健美训练图解.第二版].Bodybuilding.-.Strength.Training.Anatomy.-.2nd.Edition,84,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[肌肉健美训练图解.第二版].Bodybuilding.-.Strength.Training.Anatomy.-.2nd.Edition/pairs_[肌肉健美训练图解.第二版].Bodybuilding.-.Strength.T_2026-05-07.json
《骨盆完全指南》,84,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《骨盆完全指南》/pairs_《骨盆完全指南》_2026-05-07.json
已上架1006——NSCA——NSCA&#39%3s+essentials+...,84,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/已上架1006——NSCA——NSCA&#39%3s+essentials+.../pairs_已上架1006——NSCA——NSCA&#39%3s+essentials+.._2026-05-07.json
来自杠上的你,84,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/来自杠上的你/pairs_来自杠上的你_2026-05-07.json
NSCA_Essential of personal trianing,83,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA_Essential of personal trianing/pairs_NSCA_Essential of personal trianing_2026-05-06.json
NSCA体能训练概论(定稿 第三版),83,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA体能训练概论(定稿 第三版)/pairs_NSCA体能训练概论(定稿 第三版)_2026-05-06.json
NSCA体能训练概论(定稿),83,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA体能训练概论(定稿)/pairs_NSCA体能训练概论(定稿)_2026-05-06.json
《瑜伽，拯救你的脊椎》,83,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《瑜伽，拯救你的脊椎》/pairs_《瑜伽，拯救你的脊椎》_2026-05-07.json
囚徒健身2 用古老的智慧成就再无弱点的不败身躯,83,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身2 用古老的智慧成就再无弱点的不败身躯/pairs_囚徒健身2 用古老的智慧成就再无弱点的不败身躯_2026-05-07.json
囚徒健身2英文版,83,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身2英文版/pairs_囚徒健身2英文版_2026-05-07.json
文档-健身书籍（3.17G）__肌肉健美训练图解,82,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/文档-健身书籍（3.17G）__肌肉健美训练图解/pairs_文档-健身书籍（3.17G）__肌肉健美训练图解_2026-05-07.json
速度训练,82,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/速度训练/pairs_速度训练_2026-05-07.json
第10期骨盆完全指南,81,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/第10期骨盆完全指南/pairs_第10期骨盆完全指南_2026-05-07.json
